Timestamp,Snelheid,Omvang1,Positie1,Omvang2,Positie2,Relatie
09:22:06.217564,9.0,30.0,-75.0,45.0,0.0,-60.0
09:22:27.563932,5.0,60.0,45.0,45.0,-60.0,-90.0
09:22:48.893699,9.0,60.0,0.0,60.0,60.0,30.0
09:23:10.227473,6.0,30.0,-15.0,45.0,15.0,-30.0
09:23:31.553803,5.0,45.0,-45.0,30.0,-75.0,-60.0
09:23:52.899415,8.0,60.0,45.0,45.0,45.0,-45.0
09:24:14.232569,6.0,60.0,15.0,30.0,-45.0,60.0
09:24:35.557622,7.0,30.0,-60.0,60.0,-45.0,60.0
09:24:56.890863,7.0,30.0,0.0,60.0,-60.0,75.0
09:25:18.245856,5.0,60.0,-60.0,60.0,0.0,-75.0
09:25:39.589273,7.0,30.0,-60.0,30.0,60.0,-30.0
09:26:00.933852,5.0,45.0,60.0,30.0,-75.0,-90.0
09:26:22.256164,6.0,30.0,30.0,30.0,60.0,30.0
09:26:43.596540,9.0,45.0,0.0,45.0,-15.0,-45.0
09:27:04.929957,7.0,45.0,0.0,30.0,30.0,-60.0
09:27:26.274017,5.0,45.0,15.0,45.0,15.0,-90.0
09:27:47.606155,9.0,30.0,-45.0,30.0,0.0,-60.0
09:28:08.928521,5.0,60.0,-75.0,30.0,-45.0,75.0
09:28:30.262693,5.0,30.0,30.0,45.0,-75.0,75.0
09:28:51.592262,7.0,45.0,-45.0,30.0,-15.0,45.0
09:29:12.920090,7.0,60.0,-60.0,45.0,60.0,-90.0
09:29:34.259718,6.0,45.0,60.0,45.0,60.0,-45.0
09:29:55.597055,9.0,45.0,45.0,30.0,60.0,60.0
09:30:16.929677,9.0,30.0,45.0,45.0,-75.0,45.0
09:30:38.265128,9.0,30.0,60.0,30.0,30.0,-30.0
09:30:59.595205,6.0,30.0,45.0,30.0,-30.0,-60.0
09:31:20.940675,6.0,30.0,60.0,30.0,60.0,-45.0
09:31:42.280899,6.0,60.0,-45.0,45.0,45.0,75.0
09:32:03.616893,6.0,60.0,-15.0,30.0,-60.0,75.0
09:32:24.960470,7.0,60.0,0.0,60.0,-45.0,60.0
09:32:46.298999,7.0,30.0,30.0,60.0,45.0,45.0
09:33:07.628338,6.0,45.0,0.0,45.0,-45.0,-30.0
09:33:28.963393,8.0,60.0,45.0,45.0,-15.0,-45.0
09:33:50.298311,8.0,60.0,30.0,60.0,-75.0,-90.0
09:34:11.627983,6.0,60.0,-15.0,60.0,-15.0,-60.0
09:34:32.962252,6.0,60.0,-45.0,60.0,15.0,-60.0
09:34:54.306166,7.0,45.0,0.0,60.0,-15.0,60.0
09:35:15.645999,5.0,45.0,30.0,45.0,-60.0,75.0
09:35:36.979756,6.0,60.0,45.0,30.0,-60.0,45.0
09:35:58.322964,5.0,60.0,60.0,45.0,30.0,30.0
09:36:19.651462,7.0,60.0,-45.0,45.0,-15.0,-75.0
09:36:40.983061,7.0,60.0,45.0,45.0,-15.0,-90.0
09:37:02.319663,9.0,45.0,-15.0,30.0,-45.0,45.0
09:37:23.649184,5.0,60.0,0.0,30.0,-75.0,60.0
09:37:44.982851,5.0,60.0,30.0,30.0,-15.0,-75.0
09:38:06.320862,8.0,45.0,60.0,30.0,-45.0,75.0
09:38:27.660068,5.0,30.0,60.0,45.0,0.0,-75.0
09:38:49.002507,7.0,45.0,45.0,30.0,-15.0,75.0
09:39:10.332694,5.0,60.0,30.0,45.0,45.0,30.0
09:39:31.712267,5.0,30.0,30.0,60.0,15.0,30.0
09:39:53.082397,5.0,60.0,60.0,30.0,60.0,60.0
09:40:14.430939,5.0,30.0,60.0,45.0,60.0,75.0
09:40:35.778031,8.0,60.0,-15.0,30.0,0.0,-75.0
09:40:57.125721,8.0,45.0,45.0,45.0,-60.0,30.0
09:41:18.461749,8.0,45.0,60.0,30.0,-30.0,-90.0
09:41:39.809738,7.0,45.0,-30.0,45.0,45.0,-30.0
09:42:01.153234,9.0,60.0,-15.0,30.0,-45.0,-45.0
09:42:22.487211,9.0,30.0,-45.0,30.0,30.0,-45.0
09:42:43.813706,5.0,30.0,-30.0,60.0,-15.0,45.0
09:43:05.136713,8.0,45.0,30.0,45.0,45.0,60.0
09:43:26.466337,8.0,45.0,-60.0,45.0,60.0,45.0
09:43:47.798683,9.0,30.0,30.0,45.0,-30.0,-45.0
09:44:09.131617,5.0,45.0,15.0,60.0,-30.0,75.0
09:44:30.464548,9.0,30.0,15.0,45.0,-45.0,-75.0
09:44:51.802110,8.0,30.0,15.0,60.0,-60.0,-30.0
09:45:13.137052,6.0,60.0,15.0,30.0,-45.0,-30.0
09:45:34.490498,6.0,45.0,45.0,60.0,30.0,45.0
09:45:55.826553,8.0,30.0,60.0,30.0,-75.0,-60.0
09:46:17.159512,6.0,30.0,-15.0,30.0,0.0,-75.0
09:46:38.495920,8.0,30.0,15.0,45.0,30.0,-45.0
09:46:59.837131,7.0,30.0,-60.0,45.0,30.0,60.0
